Gene,# Hairpins,NES,Gene rank,p-value,p-value rank
ECE1,6,0.4398,8641,0.4083,8970
RAD1,6,0.4398,8642,0.4084,8977
NonTargetingControlGuideForHuman_0520,2,0.4398,8643,0.1779,4081
CENPM,6,0.4398,8644,0.4084,8975
MS4A6A,6,0.4399,8645,0.4084,8979
SH2D5,6,0.4399,8646,0.4084,8973
XKR9,6,0.4399,8647,0.4084,8974
HTR1D,6,0.4399,8648,0.4084,8971
CST5,6,0.4399,8649,0.4084,8976
MAGEB18,6,0.44,8650,0.4084,8980
MAGEA1,6,0.44,8651,0.4084,8981
WWC3,6,0.44,8652,0.4084,8978
NIPAL2,6,0.44,8653,0.4084,8972
EPPIN,6,0.4402,8654,0.4091,8983
CENPK,6,0.4403,8655,0.4092,8987
GALNT4,6,0.4403,8656,0.4092,8988
GTPBP1,6,0.4403,8657,0.4092,8989
UBA6,6,0.4403,8658,0.4092,8986
TMOD3,6,0.4404,8659,0.4092,8990
XIRP1,6,0.4404,8660,0.4092,8984
FBXL14,6,0.4405,8661,0.4092,8985
C19orf33,6,0.4405,8662,0.4094,8992
CPNE5,6,0.4406,8663,0.4094,8991
hsa-mir-6781,4,0.4406,8664,0.3567,7935
C2orf91,6,0.4406,8665,0.4095,8994
CPLX1,6,0.4406,8666,0.4095,8993
hsa-mir-5692a-2,4,0.4406,8667,0.3568,7938
hsa-mir-5692a-1,4,0.4407,8668,0.3568,7937
CCL20,6,0.4407,8669,0.4096,8997
TDRD5,6,0.4407,8670,0.4096,9000
CYP26C1,6,0.4408,8671,0.4096,8998
DYNLRB1,6,0.4408,8672,0.4096,8999
hsa-mir-1231,4,0.4408,8673,0.3571,7940
C19orf80,6,0.4408,8674,0.4096,9001
SLC13A5,6,0.4409,8675,0.4096,8996
hsa-mir-4305,4,0.4409,8676,0.3571,7939
RUSC1,6,0.4409,8677,0.4099,9002
PLA2G4B,6,0.441,8678,0.41,9003
C11orf82,6,0.441,8679,0.41,9004
RNF19A,6,0.4411,8680,0.4101,9005
DCST1,6,0.4411,8681,0.4101,9006
hsa-mir-6131,4,0.4412,8682,0.3573,7948
hsa-mir-516a-1,4,0.4412,8683,0.3574,7951
IL12B,6,0.4413,8684,0.4102,9007
TIMP3,6,0.4415,8685,0.4103,9009
LGALS3,6,0.4415,8686,0.4103,9008
TALDO1,6,0.4415,8687,0.4104,9012
LHX8,6,0.4415,8688,0.4104,9011
MAP1S,6,0.4415,8689,0.4104,9014
TMEM173,6,0.4416,8690,0.4104,9013
hsa-mir-4788,4,0.4417,8691,0.3581,7957
RASSF5,6,0.4417,8692,0.4106,9018
VAT1L,6,0.4417,8693,0.4106,9017
hsa-mir-4662a,4,0.4419,8694,0.3583,7961
hsa-mir-7853,4,0.4419,8695,0.3583,7966
SPACA7,6,0.4419,8696,0.4108,9022
CLVS2,6,0.442,8697,0.4108,9019
AKR1D1,6,0.442,8698,0.4108,9020
CXXC11,6,0.442,8699,0.4108,9023
FZD1,6,0.442,8700,0.4108,9021
KRTAP20-1,6,0.4421,8701,0.411,9025
CNN1,6,0.4421,8702,0.411,9024
NDN,6,0.4422,8703,0.4112,9030
CCL3,6,0.4422,8704,0.4112,9031
CDH2,6,0.4422,8705,0.4113,9033
hsa-mir-6132,4,0.4422,8706,0.3588,7972
PKNOX1,6,0.4424,8707,0.4114,9034
NXF1,6,0.4424,8708,0.4114,9035
RTL1,6,0.4425,8709,0.4115,9036
NOMO1,6,0.4426,8710,0.4116,9038
KRT40,6,0.4426,8711,0.4116,9041
PRKAR1B,6,0.4426,8712,0.4116,9037
PRRG3,6,0.4426,8713,0.4116,9040
SAMD8,6,0.4426,8714,0.4116,9039
PTGS1,6,0.4426,8715,0.4117,9043
MAD1L1,6,0.4426,8716,0.4117,9044
SPATA5L1,6,0.4427,8717,0.4117,9042
AGGF1,6,0.4427,8718,0.4118,9045
KRT23,6,0.4428,8719,0.4119,9046
DNAJC17,6,0.4429,8720,0.4122,9051
CDKN2C,6,0.443,8721,0.4122,9050
RPS20,6,0.443,8722,0.4122,9049
LYPD8,6,0.443,8723,0.4122,9047
MAP1LC3B2,6,0.443,8724,0.4122,9048
TMX4,6,0.443,8725,0.4122,9052
TRIM10,6,0.4431,8726,0.4122,9053
CALML6,6,0.4431,8727,0.4123,9054
RPN1,6,0.4431,8728,0.4123,9055
NARFL,6,0.4432,8729,0.4124,9061
C8orf31,6,0.4432,8730,0.4124,9059
RHNO1,6,0.4433,8731,0.4124,9060
RNF214,6,0.4433,8732,0.4124,9057
GFRA1,6,0.4433,8733,0.4124,9056
RBL1,6,0.4433,8734,0.4124,9058
XRN2,6,0.4434,8735,0.4126,9063
H1FX,6,0.4434,8736,0.4126,9064
CHST7,6,0.4435,8737,0.4127,9066
SIGLEC10,6,0.4435,8738,0.4127,9065
PAK1,6,0.4436,8739,0.4128,9068
HIST1H2BM,6,0.4436,8740,0.4128,9067
OTUB1,6,0.4437,8741,0.4129,9070
MUC16,6,0.4437,8742,0.4129,9069
ARHGAP17,6,0.4438,8743,0.4131,9072
SOX6,6,0.4438,8744,0.4131,9073
EIF2AK1,6,0.4438,8745,0.4131,9071
ZMAT5,6,0.4438,8746,0.4132,9078
FANCL,6,0.4438,8747,0.4132,9075
GDF7,6,0.4438,8748,0.4132,9079
hsa-mir-5583-2,4,0.4438,8749,0.3606,7996
hsa-mir-5583-1,4,0.4438,8750,0.3608,8001
OR51V1,6,0.4439,8751,0.4132,9076
PRRC1,6,0.4439,8752,0.4132,9080
NonTargetingControlGuideForHuman_0760,2,0.4439,8753,0.1808,4149
MRPL9,6,0.444,8754,0.4132,9074
BMP2K,6,0.444,8755,0.4132,9077
OR6K2,6,0.444,8756,0.4132,9081
PRR21,6,0.4441,8757,0.4133,9084
CD63,6,0.4441,8758,0.4133,9086
CTSA,6,0.4441,8759,0.4133,9083
C20orf96,6,0.4441,8760,0.4133,9082
ESRP1,6,0.4442,8761,0.4134,9088
TAF4B,6,0.4442,8762,0.4134,9087
H2BFM,6,0.4442,8763,0.4134,9089
RWDD2B,6,0.4442,8764,0.4134,9091
MLST8,6,0.4442,8765,0.4134,9090
PRAF2,6,0.4443,8766,0.4136,9094
DGKA,6,0.4444,8767,0.4136,9096
PSG6,6,0.4444,8768,0.4136,9093
GZMK,6,0.4444,8769,0.4136,9095
TNNT3,6,0.4444,8770,0.4137,9097
PDE8A,6,0.4444,8771,0.4138,9099
OR2Y1,6,0.4445,8772,0.4138,9098
MEDAG,6,0.4445,8773,0.4139,9102
MGAT1,6,0.4446,8774,0.4139,9100
CNTF,6,0.4446,8775,0.414,9104
ACOT4,6,0.4446,8776,0.414,9103
FAM216B,6,0.4446,8777,0.414,9105
TACSTD2,6,0.4447,8778,0.4143,9109
TCFL5,6,0.4449,8779,0.4143,9107
CCDC136,6,0.4449,8780,0.4144,9110
NonTargetingControlGuideForHuman_0153,2,0.4449,8781,0.1815,4169
ARC,6,0.445,8782,0.4145,9113
IL6R,6,0.445,8783,0.4145,9112
hsa-mir-3976,4,0.445,8784,0.3623,8041
PRSS36,6,0.445,8785,0.4145,9111
KCNK17,6,0.4451,8786,0.4146,9114
CTU1,6,0.4451,8787,0.4146,9115
CNPPD1,6,0.4452,8788,0.4148,9116
RPRD2,6,0.4452,8789,0.4148,9118
NR1H2,6,0.4452,8790,0.4148,9119
hsa-mir-4490,4,0.4452,8791,0.3625,8048
CD70,6,0.4453,8792,0.4148,9120
OCIAD2,6,0.4453,8793,0.4148,9117
RGS13,6,0.4453,8794,0.4149,9122
S100P,6,0.4453,8795,0.4149,9124
RNF40,6,0.4453,8796,0.4149,9121
SNRPE,6,0.4454,8797,0.4149,9126
HSPE1-MOB4,6,0.4454,8798,0.4149,9125
GAK,6,0.4455,8799,0.4149,9123
C12orf40,6,0.4455,8800,0.415,9127
ACAA1,6,0.4456,8801,0.415,9128
TMEM42,6,0.4456,8802,0.4152,9130
SMOX,6,0.4456,8803,0.4152,9131
hsa-mir-2681,4,0.4456,8804,0.3628,8056
RAX2,6,0.4457,8805,0.4153,9132
LCE1E,6,0.4457,8806,0.4154,9134
PAQR3,6,0.4457,8807,0.4155,9136
NFIC,6,0.4458,8808,0.4155,9135
MYL7,6,0.4458,8809,0.4156,9141
hsa-mir-135b,4,0.4459,8810,0.363,8057
TTYH1,6,0.4459,8811,0.4156,9139
TK2,6,0.446,8812,0.4159,9146
GTF2H2,6,0.446,8813,0.416,9147
TRIM55,6,0.4461,8814,0.4161,9151
TGFBRAP1,6,0.4461,8815,0.4161,9149
PKP3,6,0.4461,8816,0.4161,9148
TP53INP2,6,0.4461,8817,0.4161,9150
HAVCR1,6,0.4462,8818,0.4162,9154
CACNG7,6,0.4462,8819,0.4162,9152
CARD9,6,0.4462,8820,0.4162,9153
C12orf56,6,0.4463,8821,0.4163,9155
NUGGC,6,0.4463,8822,0.4163,9156
PPP1R16B,6,0.4463,8823,0.4164,9157
SHPRH,6,0.4464,8824,0.4165,9158
ZNF706,6,0.4464,8825,0.4165,9159
FAM211B,6,0.4465,8826,0.4167,9161
C8orf33,6,0.4465,8827,0.4168,9164
MOG,6,0.4465,8828,0.4168,9162
PRDX2,6,0.4465,8829,0.4168,9163
BNC2,6,0.4466,8830,0.4169,9165
MINOS1,6,0.4467,8831,0.4171,9167
PKIA,6,0.4467,8832,0.4171,9166
hsa-mir-6886,4,0.4468,8833,0.3639,8088
SCP2D1,6,0.4468,8834,0.4173,9169
MELK,6,0.4469,8835,0.4173,9168
OTUD6A,6,0.4469,8836,0.4173,9170
POLR1C,6,0.447,8837,0.4177,9173
NonTargetingControlGuideForHuman_0235,2,0.4471,8838,0.1842,4214
ZNF181,6,0.4471,8839,0.4178,9174
ZSCAN10,6,0.4472,8840,0.4179,9175
TRO,6,0.4472,8841,0.4179,9176
IFFO2,6,0.4472,8842,0.418,9177
ASAH2B,6,0.4472,8843,0.418,9178
QKI,6,0.4474,8844,0.4186,9181
MST1R,6,0.4474,8845,0.4188,9183
MRI1,6,0.4476,8846,0.4189,9184
ZFP69,6,0.4477,8847,0.419,9185
SYT16,6,0.4477,8848,0.419,9186
MAPKAPK3,6,0.4478,8849,0.419,9187
AZGP1,6,0.4479,8850,0.419,9189
EOMES,6,0.4479,8851,0.419,9188
hsa-mir-1227,4,0.448,8852,0.3653,8123
C22orf31,6,0.4481,8853,0.4193,9192
ENAH,6,0.4481,8854,0.4193,9190
MND1,6,0.4481,8855,0.4193,9191
FBLN1,6,0.4482,8856,0.4194,9193
HBQ1,6,0.4482,8857,0.4195,9194
NonTargetingControlGuideForHuman_0086,2,0.4483,8858,0.1854,4233
OR10A4,6,0.4483,8859,0.4198,9195
ZBTB22,6,0.4483,8860,0.4199,9202
RSPO3,6,0.4483,8861,0.4199,9204
BUB1B,6,0.4483,8862,0.4199,9199
IL7R,6,0.4483,8863,0.4199,9201
LHPP,6,0.4483,8864,0.4199,9197
C20orf111,6,0.4483,8865,0.4199,9198
MST4,6,0.4484,8866,0.4199,9200
SLC35F6,6,0.4484,8867,0.4199,9196
DDX49,6,0.4484,8868,0.4199,9203
SCML4,6,0.4484,8869,0.42,9205
LOC100130348,6,0.4484,8870,0.4201,9206
EGLN2,6,0.4485,8871,0.4201,9208
hsa-mir-6865,4,0.4485,8872,0.3663,8148
OR52I2,6,0.4485,8873,0.4201,9207
NonTargetingControlGuideForHuman_0033,2,0.4485,8874,0.1856,4242
hsa-mir-2054,3,0.4486,8875,0.3047,6789
DBX2,6,0.4487,8876,0.4202,9210
ATP5L,6,0.4487,8877,0.4203,9211
LIX1,6,0.4487,8878,0.4204,9212
MAVS,6,0.4487,8879,0.4206,9213
hsa-mir-5006,4,0.4488,8880,0.3666,8153
hsa-mir-215,4,0.4488,8881,0.3666,8151
TRMT112,6,0.4488,8882,0.4209,9216
GBP1,6,0.4489,8883,0.4209,9217
NCL,6,0.4489,8884,0.421,9219
CDK8,6,0.4493,8885,0.4213,9221
EHMT1,6,0.4493,8886,0.4213,9220
KLHDC8A,6,0.4493,8887,0.4214,9223
NANOGNB,6,0.4494,8888,0.4214,9222
AQP6,6,0.4494,8889,0.4215,9224
OGFOD3,6,0.4494,8890,0.4217,9226
FHL5,6,0.4495,8891,0.4218,9227
hsa-mir-1243,4,0.4495,8892,0.3677,8168
SLC5A5,6,0.4496,8893,0.4219,9228
CNPY2,6,0.4496,8894,0.4221,9229
OR5T1,6,0.4497,8895,0.4223,9231
NRDE2,6,0.4497,8896,0.4223,9232
FAM105A,6,0.4498,8897,0.4223,9230
RAB9A,6,0.4498,8898,0.4224,9234
C19orf82,6,0.4499,8899,0.4224,9235
EBF1,6,0.4499,8900,0.4225,9236
MEGF10,6,0.45,8901,0.4227,9238
hsa-mir-3131,4,0.45,8902,0.3678,8169
COX18,6,0.45,8903,0.4227,9239
LRRC42,6,0.4501,8904,0.4227,9237
TREM1,6,0.4501,8905,0.4229,9240
MSL1,6,0.4501,8906,0.4231,9241
EPB41L4A,6,0.4501,8907,0.4232,9243
ESRRG,6,0.4501,8908,0.4232,9242
BAGE,6,0.4501,8909,0.4232,9244
PYCARD,6,0.4502,8910,0.4233,9247
ADAMTS12,6,0.4503,8911,0.4233,9245
KIAA0226,6,0.4503,8912,0.4233,9248
TPM1,6,0.4503,8913,0.4234,9252
PARS2,6,0.4503,8914,0.4234,9250
GALNT15,6,0.4503,8915,0.4234,9251
MDM2,6,0.4503,8916,0.4234,9249
TNK1,6,0.4504,8917,0.4235,9253
VAPA,6,0.4504,8918,0.4236,9254
FCER2,6,0.4505,8919,0.4237,9260
ZNF716,6,0.4506,8920,0.4237,9259
PROP1,6,0.4506,8921,0.4237,9257
PROX1,6,0.4506,8922,0.4237,9258
HIGD1A,6,0.4506,8923,0.4237,9255
PSMD8,6,0.4506,8924,0.4237,9256
GNMT,6,0.4506,8925,0.4237,9261
MAS1,6,0.4507,8926,0.4238,9267
C5orf47,6,0.4507,8927,0.4238,9263
SPAM1,6,0.4507,8928,0.4238,9266
SH3BGRL2,6,0.4507,8929,0.4238,9262
SLC29A2,6,0.4507,8930,0.4238,9264
hsa-mir-590,3,0.4507,8931,0.3066,6844
FMO4,6,0.4507,8932,0.4238,9265
hsa-mir-150,4,0.4507,8933,0.3684,8179
IGF2BP3,6,0.4508,8934,0.4239,9270
MAL,6,0.4508,8935,0.424,9271
hsa-mir-3192,4,0.4508,8936,0.3685,8184
hsa-mir-1269a,4,0.4508,8937,0.3685,8188
EIF4E3,6,0.4511,8938,0.4241,9273
CCR9,6,0.4511,8939,0.4241,9274
NEUROG2,6,0.4511,8940,0.4241,9272
AMN,6,0.4511,8941,0.4241,9275
HNRNPCL1,6,0.4511,8942,0.4241,9276
hsa-mir-5589,4,0.4512,8943,0.3691,8199
TRAPPC2,6,0.4513,8944,0.4242,9277
KLF14,6,0.4513,8945,0.4242,9278
FNDC7,6,0.4513,8946,0.4243,9283
SLC29A3,6,0.4514,8947,0.4243,9282
PDE7B,6,0.4514,8948,0.4243,9280
hsa-mir-500a,4,0.4514,8949,0.3693,8212
hsa-mir-103b-1,4,0.4514,8950,0.3694,8213
MRGPRD,6,0.4515,8951,0.4243,9279
HOXA9,6,0.4516,8952,0.4243,9281
PSMA3,6,0.4516,8953,0.4244,9284
SERINC3,6,0.4517,8954,0.4248,9288
ZNF579,6,0.4517,8955,0.4248,9289
WRN,6,0.4517,8956,0.4248,9287
LARS,6,0.4517,8957,0.4249,9290
SGCG,6,0.4517,8958,0.4249,9291
TEX38,6,0.4518,8959,0.425,9296
FABP6,6,0.4518,8960,0.425,9298
KCNQ4,6,0.4518,8961,0.425,9293
GSTM5,6,0.4518,8962,0.425,9292
ARL6IP6,6,0.4518,8963,0.425,9297
YIPF2,6,0.4519,8964,0.425,9294
MYL6,6,0.4519,8965,0.425,9295
OPN3,6,0.452,8966,0.4254,9299
SLC31A1,6,0.452,8967,0.4254,9300
UNC5C,6,0.452,8968,0.4254,9301
FGFR3,6,0.452,8969,0.4254,9302
ZNF20,6,0.4522,8970,0.4257,9304
TGM2,6,0.4522,8971,0.4257,9305
DNAAF1,6,0.4522,8972,0.4258,9306
PAX9,6,0.4523,8973,0.4259,9312
SUSD5,6,0.4523,8974,0.4259,9308
HERC5,6,0.4523,8975,0.4259,9311
SCAMP3,6,0.4523,8976,0.4259,9309
RHOQ,6,0.4524,8977,0.4259,9313
PRR4,6,0.4525,8978,0.4259,9310
FHL2,6,0.4526,8979,0.4261,9323
SULT4A1,6,0.4526,8980,0.4261,9318
ATP1A1,6,0.4526,8981,0.4261,9317
IGSF3,6,0.4526,8982,0.4261,9319
TNXB,6,0.4527,8983,0.4261,9322
HIST1H2AG,6,0.4527,8984,0.4261,9320
LRRC2,6,0.4527,8985,0.4262,9324
hsa-mir-873,4,0.4528,8986,0.3708,8242
BNIP2,6,0.4528,8987,0.4263,9326
CSNK1A1,6,0.4529,8988,0.4263,9329
TYMS,6,0.453,8989,0.4263,9325
SPSB4,6,0.453,8990,0.4263,9327
MCF2L2,6,0.453,8991,0.4263,9330
DHX33,6,0.4531,8992,0.4264,9331
RHOA,6,0.4532,8993,0.4266,9334
RGPD4,6,0.4533,8994,0.4266,9333
SPATA31A2,6,0.4534,8995,0.4267,9335
LAMP1,6,0.4534,8996,0.4268,9336
JOSD2,6,0.4536,8997,0.4273,9338
FOXI1,6,0.4536,8998,0.4274,9339
ANGPT4,6,0.4537,8999,0.4276,9341
SLITRK4,6,0.4538,9000,0.4277,9342
BTBD11,6,0.4538,9001,0.4277,9345
LRMP,6,0.4538,9002,0.4277,9344
PAH,6,0.4538,9003,0.4277,9343
hsa-mir-5694,4,0.454,9004,0.3727,8279
TRIM49,6,0.454,9005,0.428,9346
CD27,6,0.4541,9006,0.4281,9348
MRPL38,6,0.4541,9007,0.4281,9347
UBE2L3,6,0.4541,9008,0.4282,9349
ZNF429,6,0.4541,9009,0.4282,9353
ALX3,6,0.4542,9010,0.4282,9352
MKX,6,0.4542,9011,0.4282,9351
GTF2H4,6,0.4542,9012,0.4282,9350
LARP1B,6,0.4542,9013,0.4283,9354
LATS2,6,0.4542,9014,0.4284,9355
HDX,6,0.4542,9015,0.4285,9356
PARD6B,6,0.4543,9016,0.4285,9359
UCN,6,0.4543,9017,0.4285,9357
TRAF1,6,0.4543,9018,0.4285,9360
LOC100288524,6,0.4543,9019,0.4287,9363
MOCOS,6,0.4544,9020,0.4288,9365
ZNF23,6,0.4544,9021,0.4288,9367
CTSZ,6,0.4545,9022,0.4288,9366
MAP4K4,6,0.4545,9023,0.4289,9370
NKX2-3,6,0.4546,9024,0.4289,9368
CREM,6,0.4546,9025,0.4289,9369
MAD2L2,6,0.4546,9026,0.4291,9371
PABPC4,6,0.4547,9027,0.4292,9373
TEC,6,0.4547,9028,0.4292,9372
LAMA3,6,0.4548,9029,0.4293,9374
CA2,6,0.4549,9030,0.4294,9375
RAD23A,6,0.4549,9031,0.4294,9376
GJB1,6,0.4549,9032,0.4294,9377
TMED7,6,0.4551,9033,0.4296,9378
C2orf16,6,0.4552,9034,0.4296,9379
NRROS,6,0.4552,9035,0.4297,9380
ROR1,6,0.4552,9036,0.4298,9383
CDK5RAP2,6,0.4552,9037,0.4298,9382
EXOC2,6,0.4552,9038,0.4298,9381
LCN8,6,0.4552,9039,0.4299,9385
TGM3,6,0.4553,9040,0.4299,9390
LRRC29,6,0.4553,9041,0.4299,9386
IER3IP1,6,0.4553,9042,0.4299,9384
ACADSB,6,0.4553,9043,0.4299,9391
PATE2,6,0.4554,9044,0.4299,9389
TMEM240,6,0.4554,9045,0.4299,9392
AIM2,6,0.4554,9046,0.4299,9388
LOXHD1,6,0.4554,9047,0.4299,9387
VSX1,6,0.4555,9048,0.4299,9393
hsa-mir-1282,4,0.4557,9049,0.3749,8336
PLOD1,6,0.4557,9050,0.4302,9394
OR13A1,6,0.4558,9051,0.4303,9395
SLC22A13,6,0.4558,9052,0.4303,9396
AFAP1L1,6,0.4558,9053,0.4304,9400
ANKMY2,6,0.4559,9054,0.4304,9399
LRRC39,6,0.4559,9055,0.4304,9398
F7,6,0.4559,9056,0.4304,9397
FXYD3,6,0.456,9057,0.4306,9405
FCRLB,6,0.4561,9058,0.4306,9401
TMOD1,6,0.4561,9059,0.4306,9408
hsa-mir-3661,4,0.4561,9060,0.3758,8346
KIAA0319,6,0.4561,9061,0.4306,9410
MEX3B,6,0.4562,9062,0.4306,9406
CWC25,6,0.4562,9063,0.4306,9404
SMN2,6,0.4562,9064,0.4306,9409
AGER,6,0.4562,9065,0.4306,9402
CBX7,6,0.4562,9066,0.4306,9411
ADPRHL2,6,0.4562,9067,0.4306,9403
OPRK1,6,0.4563,9068,0.4306,9407
LEMD1,6,0.4563,9069,0.4307,9412
C4orf29,6,0.4563,9070,0.4309,9413
hsa-mir-5009,4,0.4564,9071,0.3761,8356
C18orf42,6,0.4564,9072,0.431,9419
SLC16A3,6,0.4564,9073,0.431,9423
LPA,6,0.4564,9074,0.431,9417
CDH18,6,0.4565,9075,0.431,9418
NLRP6,6,0.4565,9076,0.431,9424
CFL2,6,0.4565,9077,0.431,9414
GRIA1,6,0.4565,9078,0.431,9422
UBE2B,6,0.4566,9079,0.431,9421
FBXO5,6,0.4567,9080,0.431,9420
GPT,6,0.4567,9081,0.431,9416
F11R,6,0.4567,9082,0.431,9415
RASGRF2,6,0.4568,9083,0.4311,9427
H3F3A,6,0.4568,9084,0.4311,9426
hsa-mir-6757,4,0.4568,9085,0.3768,8369
RAB3D,6,0.4569,9086,0.4311,9425
BAI2,6,0.457,9087,0.4311,9428
NonTargetingControlGuideForHuman_0779,2,0.4571,9088,0.1933,4375
KCNQ5,6,0.4572,9089,0.4313,9429
GNG10,6,0.4572,9090,0.4314,9430
LEPREL1,6,0.4572,9091,0.4315,9431
SRPX,6,0.4573,9092,0.4316,9433
NonTargetingControlGuideForHuman_0995,2,0.4573,9093,0.1934,4377
NonTargetingControlGuideForHuman_0071,2,0.4573,9094,0.1934,4378
ZNF510,6,0.4573,9095,0.4316,9432
hsa-mir-183,4,0.4573,9096,0.3771,8371
BLM,6,0.4573,9097,0.4317,9434
hsa-mir-3686,4,0.4574,9098,0.3772,8374
JDP2,6,0.4574,9099,0.4319,9437
EFCAB11,6,0.4575,9100,0.4319,9441
ZNF605,6,0.4575,9101,0.4319,9442
LZTFL1,6,0.4575,9102,0.4319,9440
MTFR2,6,0.4575,9103,0.4319,9439
HAGH,6,0.4575,9104,0.4319,9438
DEFB136,6,0.4575,9105,0.432,9444
ZNF555,6,0.4576,9106,0.432,9445
PPP1R35,6,0.4576,9107,0.4321,9446
EPS8L3,6,0.4577,9108,0.4324,9449
RRN3,6,0.4577,9109,0.4324,9447
NonTargetingControlGuideForHuman_0598,2,0.4577,9110,0.1939,4388
MAPK4,6,0.4578,9111,0.4325,9452
DCBLD1,6,0.4578,9112,0.4325,9451
GPR65,6,0.4578,9113,0.4326,9454
ZBTB14,6,0.4579,9114,0.4326,9456
PLEKHA4,6,0.4579,9115,0.4326,9455
WNT10A,6,0.458,9116,0.4327,9457
MNX1,6,0.458,9117,0.4327,9458
GCAT,6,0.458,9118,0.4328,9459
ACD,6,0.458,9119,0.4328,9460
PMEL,6,0.4581,9120,0.4329,9462
ZKSCAN5,6,0.4581,9121,0.4329,9465
KCNH2,6,0.4581,9122,0.4329,9461
hsa-mir-7159,4,0.4581,9123,0.3784,8396
PAM,6,0.4581,9124,0.4329,9464
FAM83G,6,0.4582,9125,0.4329,9468
MYT1,6,0.4582,9126,0.4329,9466
C7orf29,6,0.4583,9127,0.4329,9463
CDCP2,6,0.4584,9128,0.433,9469
AFF3,6,0.4585,9129,0.4331,9470
hsa-mir-3622a,4,0.4585,9130,0.3787,8402
NonTargetingControlGuideForHuman_0127,2,0.4585,9131,0.1944,4394
DEFA4,6,0.4585,9132,0.4331,9471
ESPNL,6,0.4585,9133,0.4331,9472
GLUL,6,0.4585,9134,0.4332,9474
hsa-mir-6752,4,0.4585,9135,0.3788,8403
FN3KRP,6,0.4586,9136,0.4332,9473
GPR101,6,0.4586,9137,0.4333,9475
GNS,6,0.4586,9138,0.4333,9476
ARMC12,6,0.4586,9139,0.4333,9477
ANKH,6,0.4587,9140,0.4334,9478
RGMA,6,0.4587,9141,0.4334,9480
SDR39U1,6,0.4587,9142,0.4334,9479
ACR,6,0.4587,9143,0.4334,9481
EAF2,6,0.4587,9144,0.4336,9487
NonTargetingControlGuideForHuman_0466,2,0.4587,9145,0.1945,4395
SLC17A2,6,0.4587,9146,0.4336,9489
OR1J1,6,0.4588,9147,0.4336,9486
WRNIP1,6,0.4588,9148,0.4336,9485
AIF1,6,0.4589,9149,0.4336,9483
PRR18,6,0.4589,9150,0.4336,9488
ARMCX5-GPRASP2,6,0.4589,9151,0.4336,9484
A1BG,6,0.459,9152,0.4337,9491
hsa-mir-3977,4,0.459,9153,0.3791,8405
NonTargetingControlGuideForHuman_0580,2,0.4591,9154,0.1948,4402
ATRAID,6,0.4591,9155,0.4341,9492
hsa-mir-663b,4,0.4592,9156,0.3792,8407
SPANXA2,6,0.4592,9157,0.4341,9493
KIAA0319L,6,0.4592,9158,0.4341,9498
PRMT3,6,0.4592,9159,0.4341,9496
EPHX2,6,0.4592,9160,0.4341,9497
C22orf46,6,0.4592,9161,0.4341,9494
FAAH,6,0.4592,9162,0.4341,9495
NUP62CL,6,0.4593,9163,0.4342,9500
SEZ6L2,6,0.4593,9164,0.4342,9502
GADD45A,6,0.4593,9165,0.4342,9503
UBE2F,6,0.4593,9166,0.4342,9501
TRIM26,6,0.4593,9167,0.4343,9504
hsa-mir-6806,4,0.4594,9168,0.3794,8408
MON2,6,0.4595,9169,0.4344,9506
LRRC70,6,0.4595,9170,0.4344,9505
PGM2L1,6,0.4596,9171,0.4346,9510
MYO1E,6,0.4596,9172,0.4346,9508
LAIR2,6,0.4596,9173,0.4346,9507
UBE2A,6,0.4597,9174,0.4347,9512
BPI,6,0.4598,9175,0.4349,9513
PRAMEF16,6,0.4598,9176,0.4349,9514
ARL15,6,0.4598,9177,0.4349,9516
HMGXB3,6,0.4598,9178,0.4349,9517
EMC2,6,0.4599,9179,0.435,9518
C6orf52,6,0.4599,9180,0.435,9519
LRRTM1,6,0.4599,9181,0.4351,9521
NonTargetingControlGuideForHuman_0801,2,0.4599,9182,0.1961,4433
LACTB,6,0.46,9183,0.4351,9520
hsa-mir-6808,4,0.46,9184,0.3798,8415
TRIM49C,6,0.46,9185,0.4352,9525
hsa-mir-544a,4,0.46,9186,0.3799,8416
TRIM49B,6,0.46,9187,0.4352,9524
RENBP,6,0.4602,9188,0.4352,9523
SLC26A3,6,0.4602,9189,0.4352,9522
ITPKB,6,0.4603,9190,0.4354,9526
GPR6,6,0.4603,9191,0.4354,9529
CDKL2,6,0.4603,9192,0.4354,9527
C9orf43,6,0.4603,9193,0.4355,9531
hsa-mir-4472-2,4,0.4603,9194,0.3808,8434
hsa-mir-4327,4,0.4604,9195,0.3808,8432
PRG3,6,0.4604,9196,0.4355,9530
GRPEL2,6,0.4605,9197,0.4356,9532
EXOC6B,6,0.4605,9198,0.4357,9533
TSEN34,6,0.4605,9199,0.4358,9534
CLUAP1,6,0.4606,9200,0.4358,9535
GSTK1,6,0.4606,9201,0.4359,9536
PI15,6,0.4607,9202,0.436,9539
hsa-mir-6743,4,0.4607,9203,0.3809,8439
OTUB2,6,0.4607,9204,0.436,9537
MXI1,6,0.4607,9205,0.436,9538
STAT2,6,0.4608,9206,0.4361,9542
hsa-mir-921,4,0.4608,9207,0.3809,8438
DPY19L1,5,0.4608,9208,0.4103,9010
FAM208B,6,0.4608,9209,0.4361,9544
ZNF669,6,0.4609,9210,0.4361,9546
PFKFB3,6,0.4609,9211,0.4361,9543
