id,negative selection score,negative selection p-value,negative selection rank
LAMP5,0.50162,0.52512,10173
TGIF2LX,0.50168,0.52517,10174
USP14,0.50189,0.52533,10175
POLDIP3,0.50192,0.52535,10176
SIAH1,0.50195,0.52537,10177
SSR4,0.50198,0.5254,10178
TTC31,0.50204,0.52545,10179
MAGEB3,0.5021,0.52549,10180
TP73,0.50216,0.52553,10181
C1QTNF8,0.50222,0.52558,10182
DNAJC24,0.50225,0.5256,10183
CCDC13,0.50228,0.52562,10184
SPATA19,0.50237,0.52568,10185
ERCC3,0.5024,0.52571,10186
FGF1,0.50245,0.52573,10187
PTX3,0.50245,0.52573,10188
R3HCC1,0.50252,0.52579,10189
LGMN,0.50258,0.52583,10190
FLYWCH2,0.50267,0.5259,10191
CISD2,0.5027,0.52592,10192
LRIG3,0.50282,0.52603,10193
NECAP1,0.50288,0.52607,10194
C1D,0.50291,0.52609,10195
PCDHGA9,0.50295,0.50284,10196
LRRC34,0.503,0.52616,10197
OR51B5,0.50306,0.5262,10198
MAGED4B,0.5031,0.50261,10199
KRT26,0.50312,0.52624,10200
HES1,0.50318,0.52629,10201
HOXD10,0.50321,0.52631,10202
FAN1,0.50326,0.52634,10203
FAM71A,0.50343,0.52649,10204
ATAD1,0.50343,0.52649,10205
TECTB,0.50369,0.52667,10206
C1QTNF4,0.50372,0.5267,10207
TUBE1,0.50381,0.52676,10208
MRPS15,0.50393,0.52685,10209
SLC10A7,0.50399,0.52689,10210
CST9L,0.50414,0.527,10211
DLEC1,0.50417,0.52702,10212
MYL2,0.50432,0.52713,10213
RNF14,0.50435,0.52716,10214
CKAP5,0.50444,0.52721,10215
HNRNPD,0.50447,0.52723,10216
MED14,0.50452,0.52728,10217
PARK7,0.50464,0.52737,10218
TCP10L2,0.50473,0.51168,10219
MYCBPAP,0.50476,0.52745,10220
RPL27A,0.50491,0.52755,10221
OR5T3,0.50494,0.52758,10222
COPS7B,0.505,0.52762,10223
CCL21,0.50503,0.52765,10224
IL13RA2,0.50512,0.52771,10225
HOXC10,0.50527,0.52782,10226
TMEM169,0.5053,0.52784,10227
ZNF530,0.50533,0.52786,10228
KRTAP25-1,0.50539,0.5279,10229
HYI,0.50542,0.52792,10230
BPIFA2,0.50549,0.52797,10231
ALOX12,0.50554,0.52801,10232
ZBED6CL,0.50563,0.50583,10233
SIRT6,0.50566,0.52811,10234
WWC3,0.50581,0.52823,10235
PCDHGB4,0.50587,0.50577,10236
ZFPL1,0.50606,0.52842,10237
EIF4A1,0.50625,0.52855,10238
MSR1,0.5064,0.52867,10239
HSPB9,0.50646,0.52871,10240
TRAF7,0.50652,0.52876,10241
DHDDS,0.50655,0.52878,10242
NLE1,0.50661,0.52882,10243
NHEJ1,0.50664,0.52884,10244
SPRYD4,0.50667,0.52886,10245
TBC1D19,0.50676,0.52893,10246
FBXW9,0.50691,0.52905,10247
PAPSS2,0.50707,0.52917,10248
ZNF699,0.50717,0.52926,10249
GOLGA3,0.5072,0.52928,10250
CTAG1A,0.50725,0.52931,10251
DCSTAMP,0.50729,0.52935,10252
MGP,0.50735,0.52939,10253
IL17F,0.50738,0.52942,10254
ATXN3L,0.50762,0.52959,10255
ENKD1,0.50792,0.52979,10256
FAM69B,0.50795,0.52981,10257
EMP2,0.50798,0.52983,10258
ALOX15B,0.50809,0.52992,10259
FAM213A,0.50812,0.52995,10260
DCAF8,0.5083,0.53007,10261
GPR68,0.50833,0.5301,10262
KDM2B,0.50839,0.53014,10263
DIAPH1,0.50842,0.53017,10264
RASL11A,0.50863,0.53031,10265
CR2,0.50872,0.53038,10266
NLRP12,0.50875,0.5304,10267
EVPLL,0.50878,0.53042,10268
CCZ1B,0.50901,0.50844,10269
C12orf60,0.50907,0.53066,10270
NRP2,0.5091,0.53069,10271
T,0.50925,0.5308,10272
FAM46D,0.50937,0.53089,10273
INHBC,0.50946,0.53096,10274
DYNC2LI1,0.50952,0.53099,10275
GRM2,0.50954,0.53101,10276
GPR37,0.50957,0.53103,10277
ZNF777,0.50966,0.53109,10278
CRY1,0.50972,0.53113,10279
AKR1C2,0.50983,0.51598,10280
ZNF286B,0.50993,0.53129,10281
PTGES3L,0.50996,0.5313,10282
WDR53,0.50999,0.53132,10283
ZEB2,0.51002,0.53134,10284
PABPC3,0.51005,0.53137,10285
TMEM232,0.51008,0.5314,10286
PUF60,0.51014,0.53145,10287
TNIP2,0.51022,0.5315,10288
CATSPERG,0.51031,0.53158,10289
2019-09-08 00:00:00,0.51046,0.53169,10290
SEC24C,0.51049,0.53171,10291
LCE3E,0.51063,0.50998,10292
FCN2,0.5107,0.53187,10293
CALR,0.51073,0.5319,10294
ZNF609,0.51076,0.53192,10295
ARHGAP5,0.5109,0.53203,10296
TMEM42,0.51099,0.53209,10297
LRIT3,0.51108,0.53215,10298
CCNI2,0.51114,0.5322,10299
GABRG1,0.5112,0.53223,10300
FGFBP3,0.51124,0.53226,10301
ARMCX4,0.51124,0.53226,10302
PCDHGA3,0.51133,0.5112,10303
VCX3A,0.51134,0.51122,10304
ACHE,0.51135,0.53234,10305
MRPS25,0.51141,0.53238,10306
CWC22,0.51146,0.53243,10307
KNOP1,0.51155,0.53249,10308
RPL34,0.51158,0.53251,10309
THBD,0.51161,0.53253,10310
CERS6,0.51164,0.53256,10311
RBM4,0.5117,0.51186,10312
DEFB128,0.51179,0.53266,10313
SOCS4,0.51188,0.53273,10314
SPRED3,0.51191,0.53275,10315
DQX1,0.51198,0.5328,10316
GPR34,0.51208,0.53287,10317
MYRIP,0.51211,0.53291,10318
ADAP2,0.51217,0.53296,10319
SKIV2L,0.51223,0.53301,10320
ARRDC3,0.51232,0.53308,10321
ECM2,0.51235,0.53309,10322
COX7B2,0.51247,0.53318,10323
HSPA13,0.51252,0.53322,10324
PCDHB15,0.51276,0.53341,10325
CDR2,0.51282,0.53345,10326
PLAC1L,0.51294,0.53354,10327
UCN3,0.51297,0.53355,10328
LGI1,0.51302,0.53359,10329
ACCSL,0.51314,0.53368,10330
GUCA1B,0.51323,0.53373,10331
OR56A5,0.51332,0.53379,10332
MPP5,0.51352,0.53394,10333
KIAA0754,0.51358,0.53399,10334
SCLT1,0.51367,0.53405,10335
GIMAP8,0.5137,0.53407,10336
CD34,0.51373,0.5341,10337
NGFRAP1,0.51377,0.53413,10338
ANK2,0.51385,0.53419,10339
FXYD4,0.51388,0.53422,10340
MFSD4,0.51391,0.53424,10341
OR4Q3,0.51394,0.53426,10342
MYL7,0.51402,0.53433,10343
LYZL2,0.51414,0.51434,10344
OR1A2,0.51417,0.53444,10345
DYNAP,0.51423,0.53447,10346
PODXL2,0.51436,0.53456,10347
NADSYN1,0.51457,0.5347,10348
ALPK3,0.51467,0.53477,10349
DEFB103B,0.51474,0.51462,10350
POMZP3,0.51476,0.53484,10351
HEG1,0.51479,0.53486,10352
TEX11,0.51485,0.5349,10353
BRWD1,0.51487,0.53492,10354
CASP8,0.51499,0.53501,10355
ERGIC3,0.51502,0.53503,10356
EXOSC5,0.51505,0.53505,10357
IER3,0.51511,0.53509,10358
LRRC52,0.51537,0.5353,10359
PIGZ,0.51549,0.53538,10360
HES2,0.51552,0.53541,10361
SRMS,0.51555,0.53543,10362
FAM19A1,0.51578,0.53561,10363
CA4,0.51581,0.53564,10364
SRP19,0.51587,0.53569,10365
CD44,0.51593,0.53573,10366
FXYD6,0.51597,0.53575,10367
KLC3,0.51606,0.53582,10368
DYNC1LI2,0.51622,0.53594,10369
BLOC1S1,0.51625,0.53596,10370
SEC14L6,0.5164,0.53607,10371
SNTG2,0.51646,0.53611,10372
CEACAM19,0.51648,0.53614,10373
ZBTB11,0.51654,0.53618,10374
FAP,0.51664,0.51603,10375
MAD1L1,0.51689,0.53644,10376
OR10H3,0.51698,0.5365,10377
FGL1,0.5171,0.53658,10378
TP53AIP1,0.51721,0.53666,10379
NEMF,0.51727,0.53671,10380
SLC25A16,0.51739,0.5368,10381
CHRM5,0.51742,0.53682,10382
AGT,0.51748,0.53687,10383
CR1L,0.51751,0.53688,10384
CAPN6,0.51754,0.53691,10385
ZNF683,0.51768,0.53703,10386
RBM43,0.51777,0.53709,10387
C9orf169,0.5178,0.5371,10388
RYK,0.51797,0.53724,10389
TPX2,0.51809,0.53732,10390
TFAP2E,0.51835,0.53752,10391
CHAC1,0.51838,0.53754,10392
BPY2,0.51841,0.53756,10393
FAM118B,0.51844,0.53759,10394
HTRA3,0.5185,0.53763,10395
ZNF655,0.51853,0.53764,10396
KDM5C,0.51856,0.53767,10397
NENF,0.51859,0.5377,10398
FOXO4,0.51861,0.53772,10399
FNDC7,0.5187,0.53779,10400
LOC729059,0.51873,0.51896,10401
TMEM151B,0.51882,0.53788,10402
TNXB,0.51893,0.53796,10403
C1orf43,0.51905,0.53806,10404
LOC100506388,0.51911,0.5381,10405
LOC100130451,0.51917,0.53814,10406
KLRD1,0.5193,0.53823,10407
OVOL3,0.51957,0.53844,10408
SCAF8,0.51963,0.53848,10409
MMS19,0.51969,0.53853,10410
ITGA11,0.51981,0.5386,10411
NDUFA4L2,0.51987,0.53865,10412
ACP2,0.51998,0.53875,10413
KIF26A,0.52014,0.53886,10414
INSL5,0.52018,0.53889,10415
INPP5E,0.52024,0.53893,10416
NUPL1,0.52036,0.53903,10417
STEAP4,0.52042,0.53907,10418
ANKRD55,0.52045,0.53909,10419
MVP,0.52055,0.53917,10420
OAS1,0.52055,0.53917,10421
CLSPN,0.52072,0.5393,10422
ZC3H7A,0.52079,0.53936,10423
DISC1,0.52083,0.52022,10424
UBE2E1,0.52085,0.5394,10425
SLC24A4,0.52103,0.53951,10426
LIN7B,0.52117,0.53963,10427
WDSUB1,0.5212,0.53966,10428
FZD7,0.52123,0.53967,10429
PCBD1,0.52135,0.53975,10430
FBXL14,0.52137,0.53976,10431
OTUD7B,0.52143,0.5398,10432
SOX7,0.52149,0.53984,10433
CAPN3,0.52158,0.53991,10434
UBE3A,0.52161,0.53994,10435
ARHGEF2,0.52164,0.53996,10436
MSL3,0.52166,0.53998,10437
IL20RB,0.52178,0.54006,10438
PGPEP1,0.52192,0.54017,10439
EMD,0.52201,0.54023,10440
CACNA1D,0.52213,0.54032,10441
SYCP2L,0.52227,0.54043,10442
MLF1IP,0.5223,0.54045,10443
FBXO32,0.52236,0.54049,10444
RUFY2,0.52239,0.54052,10445
TFDP2,0.52242,0.54054,10446
PKD2L1,0.52259,0.54068,10447
APOC4,0.52269,0.54077,10448
CD84,0.52269,0.54077,10449
VAPA,0.52274,0.54081,10450
SNRPA,0.52276,0.54083,10451
TNFRSF13B,0.52288,0.54093,10452
DUSP19,0.52297,0.54099,10453
PLEKHA3,0.52302,0.54103,10454
STK11IP,0.52308,0.54108,10455
INF2,0.52311,0.54109,10456
GATA5,0.52317,0.54113,10457
MAP1LC3A,0.52328,0.54123,10458
ERF,0.5234,0.54131,10459
ZNF671,0.52352,0.5414,10460
RAPGEFL1,0.52357,0.54144,10461
ZNF345,0.52357,0.54144,10462
TTC40,0.52366,0.54152,10463
PRKCDBP,0.5238,0.54162,10464
CCDC38,0.52383,0.54164,10465
SCNM1,0.52392,0.54171,10466
WFDC10B,0.52401,0.54178,10467
TARSL2,0.52405,0.54181,10468
GTPBP10,0.52409,0.54184,10469
PSPN,0.52412,0.54186,10470
CUL1,0.52421,0.54193,10471
RNF123,0.52427,0.54197,10472
PLEKHG3,0.52432,0.54201,10473
FGFR3,0.52438,0.54205,10474
AMIGO2,0.52444,0.5421,10475
GGT1,0.52452,0.54217,10476
JHDM1D,0.52455,0.5422,10477
GEMIN2,0.52458,0.54222,10478
TMEM180,0.52461,0.54225,10479
SMIM22,0.52467,0.54229,10480
ZDHHC23,0.52476,0.54236,10481
BHLHB9,0.52478,0.54238,10482
ZNF706,0.52481,0.5424,10483
DPY19L4,0.52487,0.54243,10484
NDUFA2,0.5249,0.54246,10485
RPS21,0.52493,0.54248,10486
TMEM54,0.5251,0.5426,10487
SNX7,0.52513,0.54262,10488
SLC7A6,0.52516,0.54265,10489
NAPSA,0.52519,0.54267,10490
GFI1,0.52533,0.54278,10491
CTSA,0.52539,0.54282,10492
SPINK8,0.52542,0.54286,10493
HSF5,0.52548,0.5429,10494
CD163L1,0.52571,0.54308,10495
TECTA,0.52573,0.5431,10496
LTBP1,0.52582,0.54317,10497
IL1R1,0.52585,0.54319,10498
PPIAL4D,0.52588,0.52603,10499
ZC3HAV1,0.52588,0.54321,10500
DDX43,0.52602,0.54332,10501
RPN2,0.52605,0.54335,10502
LMOD1,0.52619,0.54344,10503
SNX4,0.52625,0.54348,10504
HOXC4,0.52637,0.54357,10505
GKN2,0.5264,0.54359,10506
ACPP,0.52651,0.54368,10507
OR10H1,0.52657,0.54373,10508
CHAD,0.52663,0.54378,10509
GRID2,0.52665,0.5438,10510
ATP2B1,0.52668,0.54383,10511
MRPL33,0.5268,0.54392,10512
DACH1,0.52691,0.544,10513
BPI,0.527,0.54407,10514
STRA6,0.52708,0.54414,10515
POTEC,0.52711,0.54416,10516
C10orf10,0.52714,0.54419,10517
POLR1B,0.52717,0.54422,10518
MED16,0.5272,0.54423,10519
DPYD,0.52729,0.54431,10520
TNNT1,0.52734,0.54434,10521
LHX2,0.52746,0.54444,10522
PRKX,0.52757,0.54454,10523
GJB7,0.52766,0.5446,10524
SH3BP5,0.52789,0.54478,10525
TNNI3,0.52792,0.5448,10526
CATSPERB,0.52797,0.54485,10527
CXCL10,0.52803,0.54489,10528
OR7A17,0.52806,0.54491,10529
CRTAM,0.52809,0.54494,10530
TMEM143,0.52817,0.54499,10531
TSPAN11,0.52832,0.54509,10532
ZXDC,0.5284,0.54515,10533
TARDBP,0.52857,0.54529,10534
SPRY1,0.5286,0.54532,10535
LIPH,0.52863,0.54535,10536
PVRL4,0.52869,0.54539,10537
PBRM1,0.52875,0.54544,10538
TRIP11,0.5288,0.54548,10539
SNRK,0.52883,0.5455,10540
RGS7,0.52889,0.54554,10541
NPAS2,0.52898,0.54559,10542
COL5A1,0.529,0.54562,10543
ZNF780B,0.52903,0.54564,10544
FBXO27,0.52906,0.54566,10545
METTL6,0.52915,0.54573,10546
NRG4,0.52926,0.54581,10547
VIPAS39,0.52932,0.54586,10548
HOOK3,0.5294,0.54591,10549
HIST1H1A,0.52943,0.54593,10550
VPS25,0.52952,0.546,10551
POLR3D,0.52958,0.54604,10552
FRMD1,0.5298,0.54622,10553
TICRR,0.52989,0.5463,10554
COMTD1,0.52992,0.54632,10555
NLRP3,0.52995,0.54634,10556
CTBP1,0.52998,0.54636,10557
JARID2,0.53003,0.5464,10558
HECA,0.53006,0.54643,10559
NEUROG2,0.53015,0.54648,10560
MOSPD3,0.53018,0.5465,10561
MLXIP,0.5302,0.54652,10562
SYMPK,0.53023,0.54654,10563
C11orf65,0.53026,0.54656,10564
SLC6A12,0.53036,0.54665,10565
ADAMTS17,0.53036,0.54665,10566
RAD23B,0.5304,0.54668,10567
THAP3,0.53049,0.54676,10568
ACIN1,0.53063,0.54687,10569
CRELD2,0.53072,0.54693,10570
STK32C,0.53075,0.54696,10571
RQCD1,0.53077,0.54698,10572
C2orf15,0.5308,0.54701,10573
MAPK13,0.53097,0.54713,10574
ZNF572,0.531,0.54716,10575
DAW1,0.53106,0.5472,10576
HMP19,0.53109,0.54722,10577
ZFPM2,0.53112,0.54724,10578
EHBP1L1,0.53114,0.54727,10579
FEZF1,0.53119,0.5473,10580
HIST1H2AL,0.53126,0.54736,10581
ZCCHC3,0.53132,0.5474,10582
G2E3,0.53134,0.54743,10583
HAVCR2,0.53137,0.54745,10584
ITGBL1,0.5314,0.54747,10585
GNB2,0.53143,0.54749,10586
GYG2,0.53146,0.54752,10587
C5orf45,0.53149,0.54754,10588
LRRK1,0.53151,0.54756,10589
MAFG,0.53163,0.54766,10590
NKAPL,0.53174,0.54777,10591
SRPR,0.532,0.54797,10592
FAM172A,0.53203,0.54799,10593
MYO1G,0.53206,0.54801,10594
THEMIS2,0.53208,0.54803,10595
CDKN1A,0.53223,0.54813,10596
CXorf40A,0.53228,0.54817,10597
MICU2,0.53248,0.54833,10598
TSG101,0.53251,0.54836,10599
ZNF827,0.53254,0.54838,10600
RPL30,0.53257,0.5484,10601
PIGO,0.53265,0.54848,10602
EIF3B,0.53274,0.54855,10603
RCBTB2,0.53279,0.54859,10604
PRDM8,0.53288,0.54865,10605
C1orf106,0.53294,0.5487,10606
DEFB124,0.53302,0.54876,10607
ANPEP,0.53305,0.54879,10608
DTL,0.53311,0.54884,10609
HS3ST3B1,0.53316,0.54887,10610
CAMKK1,0.53319,0.5489,10611
NF1,0.53328,0.54896,10612
ACOT6,0.53331,0.54898,10613
RSPH10B2,0.53336,0.54903,10614
SRSF2,0.53343,0.54909,10615
WDR78,0.5335,0.54914,10616
OR1J2,0.5337,0.54929,10617
CLDN24,0.53373,0.54931,10618
CYSLTR1,0.53382,0.54937,10619
CDY1,0.53387,0.54941,10620
JMJD8,0.53399,0.5495,10621
PDSS1,0.53404,0.54954,10622
COQ9,0.53407,0.54956,10623
ZNF142,0.53413,0.54961,10624
HIST1H2AH,0.53438,0.54981,10625
WDR88,0.53452,0.54992,10626
MARK2,0.53455,0.54995,10627
PITX2,0.53461,0.54999,10628
S100A10,0.53475,0.55012,10629
UBL4A,0.53478,0.55014,10630
PMEL,0.53481,0.55016,10631
ITGB3BP,0.53489,0.53801,10632
2019-03-02 00:00:00,0.53499,0.5503,10633
IL1RL2,0.53509,0.55038,10634
FAM160B1,0.53516,0.55043,10635
DNAH1,0.53523,0.55048,10636
GPD1L,0.53532,0.55055,10637
RAB4B,0.53552,0.55069,10638
HYKK,0.53561,0.53579,10639
UBXN2B,0.53571,0.55085,10640
ATP1A2,0.53577,0.5509,10641
RTP1,0.5358,0.55093,10642
MAPK9,0.53585,0.55097,10643
G3BP1,0.53602,0.5511,10644
KCNK3,0.53616,0.55119,10645
BAG2,0.53625,0.55126,10646
C2CD2,0.53632,0.55132,10647
LHX6,0.53636,0.55135,10648
AGPAT2,0.53648,0.55144,10649
TMC5,0.53657,0.5515,10650
FAM187B,0.53657,0.5515,10651
NSMCE4A,0.53667,0.55157,10652
PTGS2,0.53674,0.55163,10653
ZG16B,0.53674,0.55163,10654
AKT2,0.53684,0.55169,10655
NANOS1,0.53687,0.55171,10656
ZNF608,0.53693,0.55175,10657
FAM151A,0.53695,0.55178,10658
CRADD,0.53698,0.55181,10659
WDR5B,0.53704,0.55185,10660
CNGB3,0.53707,0.55188,10661
IFIT1,0.5371,0.55189,10662
LRRC16A,0.53715,0.55193,10663
LRP3,0.53746,0.55219,10664
TXNRD1,0.53749,0.55221,10665
PHKG1,0.53755,0.55225,10666
EPM2AIP1,0.5376,0.5523,10667
DMPK,0.53766,0.55235,10668
LGR5,0.53772,0.55239,10669
COMMD4,0.53777,0.55243,10670
PTGFR,0.5378,0.55244,10671
EMILIN3,0.53791,0.55254,10672
GLDC,0.53797,0.55257,10673
SKP1,0.53803,0.55262,10674
FH,0.53822,0.55277,10675
TMEM217,0.53825,0.55279,10676
PPAP2A,0.53831,0.55283,10677
SATB1,0.53836,0.55288,10678
GSTA3,0.53839,0.55289,10679
CHRNB4,0.53841,0.54123,10680
CCL4L1,0.53845,0.54127,10681
MMP28,0.53859,0.55304,10682
OR5R1,0.53867,0.55311,10683
STX3,0.5387,0.55314,10684
TCF7,0.53898,0.55336,10685
MITF,0.53907,0.55343,10686
DYSF,0.53909,0.55346,10687
CMSS1,0.53923,0.55357,10688
LCE1C,0.53926,0.5536,10689
FAM114A1,0.53932,0.55364,10690
CXorf36,0.53935,0.55367,10691
DMXL1,0.53942,0.55372,10692
PTK7,0.53942,0.55372,10693
KAAG1,0.53946,0.54217,10694
CLDN12,0.5396,0.55386,10695
FAM47C,0.53963,0.55388,10696
SELE,0.53982,0.55402,10697
DHX37,0.53985,0.55406,10698
FAM153A,0.54002,0.55419,10699
JAM3,0.54008,0.55424,10700
CLDN20,0.54022,0.55435,10701
SARNP,0.54044,0.55454,10702
SPATA21,0.5405,0.55458,10703
CEP63,0.54061,0.55467,10704
KRTAP4-4,0.54064,0.55469,10705
KIF18B,0.54069,0.55473,10706
CAMK1,0.54097,0.55494,10707
DUSP4,0.541,0.55496,10708
GTF3C2,0.54122,0.55513,10709
MRPL17,0.54125,0.55515,10710
DR1,0.54142,0.55529,10711
DBF4B,0.54145,0.55531,10712
NLRP11,0.5415,0.55536,10713
DNASE1L3,0.54153,0.55538,10714
ERVV-2,0.54173,0.55552,10715
ACSM3,0.54181,0.55559,10716
PLIN1,0.54184,0.55561,10717
C1QTNF7,0.54192,0.55568,10718
PNN,0.54195,0.55571,10719
HCK,0.54198,0.55572,10720
TMX4,0.54212,0.55583,10721
MOS,0.54229,0.55595,10722
RIMS2,0.5424,0.55605,10723
INSM2,0.54251,0.55613,10724
ERP27,0.54262,0.55622,10725
SMAD3,0.5427,0.55629,10726
GBP5,0.54273,0.55632,10727
TIMM8A,0.54289,0.55644,10728
C17orf96,0.54289,0.55644,10729
HM13,0.54296,0.55649,10730
HSD17B12,0.54298,0.55652,10731
MXD1,0.54301,0.55654,10732
SAMD3,0.54304,0.55656,10733
HDHD1,0.54318,0.55668,10734
ZNF829,0.54321,0.5567,10735
DSCR6,0.54326,0.55674,10736
SLC2A3,0.54329,0.55676,10737
DIAPH3,0.54337,0.55684,10738
ZNF485,0.54354,0.55697,10739
PILRA,0.54357,0.55699,10740
CALCR,0.54362,0.55704,10741
CCDC146,0.54368,0.55709,10742
OR2T29,0.54385,0.55723,10743
SERPINB7,0.54393,0.55729,10744
LCLAT1,0.54396,0.55731,10745
FAM96B,0.54399,0.55733,10746
FASTK,0.54404,0.55737,10747
PLA2G2F,0.54415,0.55747,10748
CBWD3,0.54417,0.5434,10749
FPR1,0.54421,0.55751,10750
GALNT2,0.54427,0.55755,10751
C19orf44,0.54429,0.55757,10752
PLA2G1B,0.54432,0.55759,10753
ALDH1A3,0.54435,0.55761,10754
RPL36A-HNRNPH2,0.54446,0.54448,10755
SLC16A10,0.54449,0.55771,10756
ESR2,0.54457,0.55779,10757
C22orf31,0.5446,0.55781,10758
S100A7A,0.54465,0.55786,10759
GJB1,0.5449,0.55806,10760
HLA-DRB5,0.54496,0.55811,10761
GALNT16,0.54499,0.55813,10762
NCOA4,0.54504,0.55818,10763
TMEM108,0.54507,0.5582,10764
HMMR,0.54517,0.55828,10765
TXNDC16,0.54521,0.55831,10766
ST8SIA3,0.54524,0.55833,10767
ZNF548,0.54538,0.55845,10768
HNRNPH2,0.54546,0.55851,10769
CBY3,0.5456,0.55862,10770
LILRA4,0.54563,0.55865,10771
SRGAP2D,0.54568,0.55869,10772
INTS3,0.54571,0.55871,10773
BTD,0.54582,0.55879,10774
SELO,0.54588,0.55883,10775
GALR2,0.5459,0.55885,10776
C20orf194,0.54593,0.55887,10777
SRL,0.54602,0.55894,10778
OR52H1,0.54604,0.55895,10779
TWIST1,0.54607,0.55898,10780
PMS1,0.5461,0.559,10781
PARP2,0.54629,0.55915,10782
FAXC,0.54632,0.55917,10783
CPNE2,0.54635,0.55919,10784
CERCAM,0.5464,0.55925,10785
SH2B3,0.54651,0.55933,10786
SLAMF9,0.54654,0.55935,10787
ERBB4,0.5466,0.5594,10788
SNRNP25,0.54668,0.55946,10789
ANKRD53,0.54671,0.55948,10790
SIK1,0.54674,0.5595,10791
SSX3,0.54679,0.55955,10792
YTHDC2,0.54685,0.55958,10793
SPINK9,0.54693,0.55964,10794
SLC6A4,0.54699,0.55967,10795
BPIFB1,0.5471,0.55977,10796
CRNKL1,0.54718,0.55984,10797
ECHDC3,0.54726,0.5599,10798
PRKACG,0.54732,0.55995,10799
WNT3,0.54743,0.56004,10800
FAM210B,0.54746,0.56006,10801
OR51F1,0.54751,0.5601,10802
ZNF320,0.54758,0.54962,10803
C18orf63,0.54765,0.56022,10804
CSE1L,0.54768,0.56024,10805
TNNT2,0.54776,0.5603,10806
LOC284385,0.54779,0.54699,10807
RING1,0.54787,0.56039,10808
PSMB8,0.5479,0.5604,10809
FADS3,0.54801,0.5605,10810
ACAA2,0.54808,0.56055,10811
TMEM33,0.54828,0.56069,10812
KRTAP5-10,0.54837,0.56076,10813
FREM3,0.5484,0.56078,10814
SERTAD1,0.54845,0.56083,10815
SYT14,0.54848,0.56084,10816
KCNJ8,0.54852,0.56089,10817
GARS,0.54862,0.56095,10818
MAP3K3,0.54864,0.56098,10819
KCNA6,0.5487,0.56102,10820
C1orf131,0.54878,0.5611,10821
GABRA4,0.54884,0.56114,10822
SPRR3,0.54897,0.56124,10823
C6orf132,0.549,0.56125,10824
SLC45A2,0.54903,0.56128,10825
NANOS3,0.54907,0.56131,10826
DNAJA1,0.54911,0.56135,10827
IMMP1L,0.5492,0.56142,10828
UTP20,0.54925,0.56146,10829
ACTL6A,0.54936,0.56155,10830
CCNH,0.54939,0.56157,10831
PDE1A,0.54942,0.56159,10832
PSMD4,0.5495,0.56165,10833
CMC2,0.54957,0.55142,10834
SBNO2,0.54964,0.56176,10835
VAPB,0.54969,0.56181,10836
E2F4,0.54972,0.56183,10837
ARHGEF39,0.54977,0.56188,10838
MRGPRX2,0.54986,0.56194,10839
PCBP1,0.54991,0.56199,10840
BAI2,0.54997,0.56203,10841
PSMG3,0.54999,0.56206,10842
CDC27,0.55013,0.56218,10843
RPS28,0.55016,0.5622,10844
SPAG17,0.55019,0.56223,10845
RNF223,0.5503,0.56231,10846
AMMECR1L,0.55032,0.56234,10847
BLOC1S2,0.55035,0.56235,10848
GRAP,0.55038,0.56237,10849
IL1F10,0.55046,0.56244,10850
GFM1,0.55054,0.56251,10851
GDNF,0.55057,0.56253,10852
CXCR6,0.5506,0.56254,10853
SORBS3,0.55063,0.56257,10854
CLEC4M,0.55065,0.56259,10855
NEGR1,0.55068,0.56261,10856
PLEKHG4B,0.55074,0.56265,10857
TMEM132A,0.55079,0.56269,10858
LPIN1,0.55082,0.56272,10859
ZNF653,0.55085,0.56274,10860
MT1E,0.55087,0.56277,10861
NUPR1L,0.55093,0.56282,10862
JKAMP,0.55096,0.56284,10863
PPP2R3A,0.55098,0.56286,10864
NEB,0.55112,0.56297,10865
OR4D6,0.55123,0.56305,10866
AKR7A3,0.55142,0.56321,10867
ANO5,0.55145,0.56324,10868
KYNU,0.55151,0.56329,10869
APOA4,0.5516,0.56337,10870
SPTA1,0.5516,0.56337,10871
RALGAPA2,0.55167,0.56343,10872
COTL1,0.55184,0.56356,10873
NUGGC,0.55186,0.56358,10874
GTPBP3,0.55189,0.56361,10875
KIAA1033,0.55206,0.56373,10876
RPS9,0.55214,0.5638,10877
ZCWPW2,0.55218,0.56383,10878
RPP21,0.55218,0.56383,10879
CCL28,0.55222,0.56387,10880
NDUFB4,0.55225,0.56388,10881
PHB,0.55227,0.56391,10882
EDNRB,0.55236,0.56397,10883
LIN52,0.55255,0.56414,10884
RBM15B,0.55266,0.56422,10885
C12orf71,0.55277,0.5643,10886
DNAJC22,0.55285,0.56436,10887
TXLNG,0.55301,0.56449,10888
TULP4,0.5531,0.56457,10889
PCM1,0.55312,0.56459,10890
REG3A,0.55326,0.56469,10891
NINJ1,0.55329,0.56471,10892
ACOX2,0.55337,0.56477,10893
ASL,0.5534,0.56479,10894
DNMBP,0.55349,0.56488,10895
TGM4,0.55349,0.56488,10896
DPRX,0.55359,0.56495,10897
TFCP2L1,0.55364,0.56499,10898
GINS1,0.55367,0.56501,10899
LRRC37A2,0.55375,0.56509,10900
AASDH,0.55384,0.56515,10901
C6orf222,0.55386,0.56518,10902
HSFX2,0.55388,0.55407,10903
DMRT1,0.5539,0.56521,10904
SESN2,0.55397,0.56525,10905
PLA2G2E,0.55408,0.56533,10906
MNF1,0.55411,0.56535,10907
MERTK,0.55416,0.56539,10908
